date,strategy,benchmark
2020-01-02,10000.0,3257.85009765625
2020-01-03,10000.0,3234.85009765625
2020-01-06,10038.150444823079,3246.280029296875
2020-01-07,10009.924941996143,3237.179931640625
2020-01-08,10063.27427727401,3253.050048828125
2020-01-09,10131.509009510748,3274.699951171875
2020-01-10,10102.356130425795,3265.35009765625
2020-01-13,10171.83274043414,3288.1298828125
2020-01-14,10156.320356483433,3283.14990234375
2020-01-15,10179.274934904739,3289.2900390625
2020-01-16,10263.9494273502,3316.81005859375
2020-01-17,10295.898547456616,3329.6201171875
2020-01-21,10275.736177986084,3320.7900390625
2020-01-22,10276.97704774002,3321.75
2020-01-23,10288.76279035823,3325.5400390625
2020-01-24,10197.267042327972,3295.469970703125
2020-01-27,10033.806896675467,3243.6298828125
2020-01-28,10138.954228034363,3276.239990234375
2020-01-29,10130.578609199714,3273.39990234375
2020-01-30,10163.457121599491,3283.659912109375
2020-01-31,9978.91025427145,3225.52001953125
2020-02-03,10053.03684979962,3248.919921875
2020-02-04,10206.258559960066,3297.590087890625
2020-02-05,10324.120018212863,3334.68994140625
2020-02-06,10358.86033925238,3345.780029296875
2020-02-07,10303.650203352445,3327.7099609375
2020-02-10,10380.572031884405,3352.090087890625
2020-02-11,10398.562123272295,3357.75
2020-02-12,10465.556993772769,3379.449951171875
2020-02-13,10454.390174005019,3373.93994140625
2020-02-14,10471.1383876213,3380.159912109375
2020-02-18,10444.154762565973,3370.2900390625
2020-02-19,10494.091958024934,3386.14990234375
2020-02-20,10450.97702616844,3373.22998046875
2020-02-21,10343.349971337018,3337.75
2020-02-24,10000.310469442902,3225.889892578125
2020-02-25,9697.281204976262,3128.2099609375
2020-02-26,9661.608467590368,3116.389892578125
2020-02-27,9227.692140516454,2978.760009765625
2020-02-28,9227.692140516454,2954.219970703125
2020-03-02,9227.692140516454,3090.22998046875
2020-03-03,9227.692140516454,3003.3701171875
2020-03-04,9227.692140516454,3130.1201171875
2020-03-05,9227.692140516454,3023.93994140625
2020-03-06,9227.692140516454,2972.3701171875
2020-03-09,9227.692140516454,2746.56005859375
2020-03-10,9227.692140516454,2882.22998046875
2020-03-11,9227.692140516454,2741.3798828125
2020-03-12,9227.692140516454,2480.639892578125
2020-03-13,9227.692140516454,2711.02001953125
2020-03-16,9227.692140516454,2386.1298828125
2020-03-17,9227.692140516454,2529.18994140625
2020-03-18,9227.692140516454,2398.10009765625
2020-03-19,9227.692140516454,2409.389892578125
2020-03-20,9227.692140516454,2304.919921875
2020-03-23,9227.692140516454,2237.39990234375
2020-03-24,9227.692140516454,2447.330078125
2020-03-25,9227.692140516454,2475.56005859375
2020-03-26,9227.692140516454,2630.070068359375
2020-03-27,9227.692140516454,2541.469970703125
2020-03-30,9227.692140516454,2626.64990234375
2020-03-31,9227.692140516454,2584.590087890625
2020-04-01,9227.692140516454,2470.5
2020-04-02,9227.692140516454,2526.89990234375
2020-04-03,9227.692140516454,2488.64990234375
2020-04-06,9227.692140516454,2663.679931640625
2020-04-07,9227.692140516454,2659.409912109375
2020-04-08,9227.692140516454,2749.97998046875
2020-04-09,9227.692140516454,2789.820068359375
2020-04-13,9227.692140516454,2761.6298828125
2020-04-14,9227.692140516454,2846.06005859375
2020-04-15,9227.692140516454,2783.360107421875
2020-04-16,9227.692140516454,2799.550048828125
2020-04-17,9227.692140516454,2874.56005859375
2020-04-20,9227.692140516454,2823.159912109375
2020-04-21,9227.692140516454,2736.56005859375
2020-04-22,9227.692140516454,2799.31005859375
2020-04-23,9227.692140516454,2797.800048828125
2020-04-24,9227.692140516454,2836.739990234375
2020-04-27,9227.692140516454,2878.47998046875
2020-04-28,9227.692140516454,2863.389892578125
2020-04-29,9227.692140516454,2939.510009765625
2020-04-30,9227.692140516454,2912.429931640625
2020-05-01,9227.692140516454,2830.7099609375
2020-05-04,9227.692140516454,2842.739990234375
2020-05-05,9227.692140516454,2868.43994140625
2020-05-06,9227.692140516454,2848.419921875
2020-05-07,9227.692140516454,2881.18994140625
2020-05-08,9227.692140516454,2929.800048828125
2020-05-11,9229.581271065259,2930.18994140625
2020-05-12,9045.623997942968,2870.1201171875
2020-05-13,9045.623997942968,2820.0
2020-05-14,9045.623997942968,2852.5
2020-05-15,9045.623997942968,2863.699951171875
2020-05-18,9045.623997942968,2953.909912109375
2020-05-19,8952.713173297596,2922.93994140625
2020-05-20,8952.713173297596,2971.610107421875
2020-05-21,8890.903610570818,2948.510009765625
2020-05-22,8907.78874904019,2955.449951171875
2020-05-26,9017.536791203755,2991.77001953125
2020-05-27,9151.7090064305,3036.1298828125
2020-05-28,9134.82289379979,3029.72998046875
2020-05-29,9175.528225302862,3044.31005859375
2020-06-01,9212.611624951716,3055.72998046875
2020-06-02,9288.89430267529,3080.820068359375
2020-06-03,9412.512453967505,3122.8701171875
2020-06-04,9387.789213373597,3112.35009765625
